"","country_code","country","year","co_eu28","co_jpn","total_pat","co_usa","co_wrd","EMP_X1564","G_PPP","G_XGDP","GDP_HAB_PPP","GDP_PPP","GINIDSP_GINI","HE_XG","HE_XGDP","POP_NB","POP1564_NB","PVRTTX_X","collab_ratio"
"1","ARG","Argentina",1999,0,0,51,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.235294117647059
"2","ARG","Argentina",2000,0,0,78,12,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205128205128205
"3","ARG","Argentina",2001,0,0,123,19,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186991869918699
"4","ARG","Argentina",2002,0,2,109,26,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.394495412844037
"5","ARG","Argentina",2003,0,1,135,27,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.340740740740741
"6","ARG","Argentina",2004,0,1,138,31,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36231884057971
"7","ARG","Argentina",2005,0,0,128,35,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3828125
"8","ARG","Argentina",2006,0,0,156,44,69,NA,2406.69,0.4,15464.63,601184.09,NA,26.47,0.11,NA,NA,NA,0.442307692307692
"9","ARG","Argentina",2007,0,0,157,36,53,NA,2676.2,0.4,17156.78,666237.95,NA,28.82,0.12,NA,NA,NA,0.337579617834395
"10","ARG","Argentina",2008,0,1,178,61,78,NA,2951.23,0.42,18053.41,700439.5,NA,29.03,0.12,NA,NA,NA,0.438202247191011
"11","ARG","Argentina",2009,0,0,155,48,70,NA,3409.95,0.48,16947.59,706116.04,NA,31.32,0.15,NA,NA,NA,0.451612903225806
"12","ARG","Argentina",2010,0,2,160,60,82,NA,4038.32,0.52,18766.16,780193.89,NA,29.32,0.15,NA,NA,NA,0.5125
"13","ARG","Argentina",2011,0,0,176,55,81,NA,4655.17,0.54,20152.59,867545.43,NA,30.2,0.16,NA,NA,NA,0.460227272727273
"14","ARG","Argentina",2012,0,0,135,44,62,NA,5454.06,0.61,20131.94,895008.21,NA,29.64,0.18,NA,NA,NA,0.459259259259259
"15","ARG","Argentina",2013,0,1,176,66,91,NA,5785.05,0.61,20750.37,945659.38,NA,29.14,0.18,NA,NA,NA,0.517045454545455
"16","ARG","Argentina",2014,0,0,122,42,58,NA,5700.93,0.61,20374.68,927164.15,NA,30.47,0.19,NA,NA,NA,0.475409836065574
"17","ARG","Argentina",2015,0,1,176,62,83,NA,NA,NA,20860.94,971826.87,NA,NA,NA,NA,NA,NA,0.471590909090909
"18","ARG","Argentina",2016,0,0,190,72,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526315789473684
"19","ARG","Argentina",2017,0,0,207,87,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536231884057971
"20","AUS","Australia",1999,0,8,1056,114,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.182765151515152
"21","AUS","Australia",2000,0,7,1346,158,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.203566121842496
"22","AUS","Australia",2001,0,21,1614,229,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234200743494424
"23","AUS","Australia",2002,0,8,1916,217,361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.188413361169102
"24","AUS","Australia",2003,0,16,2527,288,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.197863078749505
"25","AUS","Australia",2004,0,8,3809,318,583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153058545550013
"26","AUS","Australia",2005,0,10,3831,382,689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179848603497781
"27","AUS","Australia",2006,0,13,2928,367,624,73.44,15509.04,2,37441.84,773795.35,NA,24.95,0.5,20452,13785,NA,0.213114754098361
"28","AUS","Australia",2007,0,21,3047,415,670,74.3,NA,NA,39187.32,825594.58,NA,NA,NA,20828,14044,NA,0.219888414834263
"29","AUS","Australia",2008,0,25,3305,343,624,74.82,19133,2.25,39537.85,850843.23,NA,24.18,0.54,21251,14344,NA,0.188804841149773
"30","AUS","Australia",2009,0,15,2742,300,569,73.79,NA,NA,41087.14,899849.04,NA,NA,NA,21690,14641,NA,0.207512764405543
"31","AUS","Australia",2010,0,15,2887,370,648,74.24,20572.19,2.19,42238.57,938139,NA,26.4,0.58,22032,14846,NA,0.224454450987184
