"","X","location","country","ipc","technology_domain","year","value"
"1",1,"AUS","Australia","TOTAL","Total Patents",1999,71.8167
"2",2,"AUS","Australia","TOTAL","Total Patents",2000,92.2333
"3",3,"AUS","Australia","TOTAL","Total Patents",2001,967.6554
"4",4,"AUS","Australia","TOTAL","Total Patents",2002,1413.7501
"5",5,"AUS","Australia","TOTAL","Total Patents",2003,2185.5427
"6",6,"AUS","Australia","TOTAL","Total Patents",2004,3437.0766
"7",7,"AUS","Australia","TOTAL","Total Patents",2005,3395.6027
"8",8,"AUS","Australia","TOTAL","Total Patents",2006,2517.3173
"9",9,"AUS","Australia","TOTAL","Total Patents",2007,2622.6829
"10",10,"AUS","Australia","TOTAL","Total Patents",2008,2921.8532
"11",11,"AUS","Australia","TOTAL","Total Patents",2009,2380.5863
"12",12,"AUS","Australia","TOTAL","Total Patents",2010,2484.3518
"13",13,"AUS","Australia","TOTAL","Total Patents",2011,2560.2185
"14",14,"AUS","Australia","TOTAL","Total Patents",2012,2259.6926
"15",15,"AUS","Australia","TOTAL","Total Patents",2013,2430.8563
"16",16,"AUS","Australia","TOTAL","Total Patents",2014,2396.8252
"17",17,"AUS","Australia","TOTAL","Total Patents",2015,2327.1497
"18",18,"AUS","Australia","TOTAL","Total Patents",2016,2420.196
"19",19,"AUS","Australia","TOTAL","Total Patents",2017,2229.5742
"20",20,"AUS","Australia","TOTAL","Total Patents",2018,1336.0731
"21",21,"AUT","Austria","TOTAL","Total Patents",1999,26.3242
"22",22,"AUT","Austria","TOTAL","Total Patents",2000,63.9167
"23",23,"AUT","Austria","TOTAL","Total Patents",2001,600.8669
"24",24,"AUT","Austria","TOTAL","Total Patents",2002,815.5409
"25",25,"AUT","Austria","TOTAL","Total Patents",2003,868.7658
"26",26,"AUT","Austria","TOTAL","Total Patents",2004,1215.1361
"27",27,"AUT","Austria","TOTAL","Total Patents",2005,1362.4857
"28",28,"AUT","Austria","TOTAL","Total Patents",2006,1176.6391
"29",29,"AUT","Austria","TOTAL","Total Patents",2007,1267.4181
"30",30,"AUT","Austria","TOTAL","Total Patents",2008,1126.208
"31",31,"AUT","Austria","TOTAL","Total Patents",2009,1181.2722
"32",32,"AUT","Austria","TOTAL","Total Patents",2010,1260.6271
"33",33,"AUT","Austria","TOTAL","Total Patents",2011,1377.0253
"34",34,"AUT","Austria","TOTAL","Total Patents",2012,1485.72
"35",35,"AUT","Austria","TOTAL","Total Patents",2013,1604.5816
"36",36,"AUT","Austria","TOTAL","Total Patents",2014,1761.122
"37",37,"AUT","Austria","TOTAL","Total Patents",2015,1733.1404
"38",38,"AUT","Austria","TOTAL","Total Patents",2016,1793.26
"39",39,"AUT","Austria","TOTAL","Total Patents",2017,1603.4625
"40",40,"AUT","Austria","TOTAL","Total Patents",2018,951.9515
"41",41,"BEL","Belgium","TOTAL","Total Patents",1999,50.7476
"42",42,"BEL","Belgium","TOTAL","Total Patents",2000,84.907
"43",43,"BEL","Belgium","TOTAL","Total Patents",2001,702.051
"44",44,"BEL","Belgium","TOTAL","Total Patents",2002,896.2108
"45",45,"BEL","Belgium","TOTAL","Total Patents",2003,1206.677
"46",46,"BEL","Belgium","TOTAL","Total Patents",2004,1400.3674
"47",47,"BEL","Belgium","TOTAL","Total Patents",2005,1770.127
"48",48,"BEL","Belgium","TOTAL","Total Patents",2006,1471.4792
"49",49,"BEL","Belgium","TOTAL","Total Patents",2007,1413.4434
"50",50,"BEL","Belgium","TOTAL","Total Patents",2008,1331.7344
"51",51,"BEL","Belgium","TOTAL","Total Patents",2009,1358.1292
"52",52,"BEL","Belgium","TOTAL","Total Patents",2010,1375.0582
"53",53,"BEL","Belgium","TOTAL","Total Patents",2011,1473.7475
"54",54,"BEL","Belgium","TOTAL","Total Patents",2012,1451.4605
"55",55,"BEL","Belgium","TOTAL","Total Patents",2013,1512.1087
"56",56,"BEL","Belgium","TOTAL","Total Patents",2014,1668.3802
"57",57,"BEL","Belgium","TOTAL","Total Patents",2015,1625.6753
"58",58,"BEL","Belgium","TOTAL","Total Patents",2016,1682.1875
"59",59,"BEL","Belgium","TOTAL","Total Patents",2017,1530.0042
"60",60,"BEL","Belgium","TOTAL","Total Patents",2018,913.9389
"61",61,"CAN","Canada","TOTAL","Total Patents",1999,176.9286
"62",62,"CAN","Canada","TOTAL","Total Patents",2000,587.8147
"63",63,"CAN","Canada","TOTAL","Total Patents",2001,5128.7885
"64",64,"CAN","Canada","TOTAL","Total Patents",2002,5486.7166
"65",65,"CAN","Canada","TOTAL","Total Patents",2003,6123.9953
"66",66,"CAN","Canada","TOTAL","Total Patents",2004,7125.3256
"67",67,"CAN","Canada","TOTAL","Total Patents",2005,7422.5897
"68",68,"CAN","Canada","TOTAL","Total Patents",2006,7575.9163
"69",69,"CAN","Canada","TOTAL","Total Patents",2007,7668.3263
"70",70,"CAN","Canada","TOTAL","Total Patents",2008,7251.6303
"71",71,"CAN","Canada","TOTAL","Total Patents",2009,6753.4743
"72",72,"CAN","Canada","TOTAL","Total Patents",2010,7650.3809
"73",73,"CAN","Canada","TOTAL","Total Patents",2011,8048.8128
"74",74,"CAN","Canada","TOTAL","Total Patents",2012,8782.5417
"75",75,"CAN","Canada","TOTAL","Total Patents",2013,8778.5857
"76",76,"CAN","Canada","TOTAL","Total Patents",2014,8427.0664
"77",77,"CAN","Canada","TOTAL","Total Patents",2015,8432.6536
"78",78,"CAN","Canada","TOTAL","Total Patents",2016,8274.0233
"79",79,"CAN","Canada","TOTAL","Total Patents",2017,7942.0485
"80",80,"CAN","Canada","TOTAL","Total Patents",2018,6295.6725
"81",81,"CHE","Switzerland","TOTAL","Total Patents",1999,72.8524
"82",82,"CHE","Switzerland","TOTAL","Total Patents",2000,157.4302
"83",83,"CHE","Switzerland","TOTAL","Total Patents",2001,1492.7729
"84",84,"CHE","Switzerland","TOTAL","Total Patents",2002,1697.8908
"85",85,"CHE","Switzerland","TOTAL","Total Patents",2003,2080.9514
"86",86,"CHE","Switzerland","TOTAL","Total Patents",2004,2726.9889
"87",87,"CHE","Switzerland","TOTAL","Total Patents",2005,3062.4962
"88",88,"CHE","Switzerland","TOTAL","Total Patents",2006,2605.746
"89",89,"CHE","Switzerland","TOTAL","Total Patents",2007,2635.7918
"90",90,"CHE","Switzerland","TOTAL","Total Patents",2008,2665.369
"91",91,"CHE","Switzerland","TOTAL","Total Patents",2009,2628.6607
"92",92,"CHE","Switzerland","TOTAL","Total Patents",2010,2761.7923
"93",93,"CHE","Switzerland","TOTAL","Total Patents",2011,2897.0032
"94",94,"CHE","Switzerland","TOTAL","Total Patents",2012,3211.4379
"95",95,"CHE","Switzerland","TOTAL","Total Patents",2013,3298.6563
"96",96,"CHE","Switzerland","TOTAL","Total Patents",2014,3333.2498
"97",97,"CHE","Switzerland","TOTAL","Total Patents",2015,3391.8666
"98",98,"CHE","Switzerland","TOTAL","Total Patents",2016,3490.759
"99",99,"CHE","Switzerland","TOTAL","Total Patents",2017,3233.8286
"100",100,"CHE","Switzerland","TOTAL","Total Patents",2018,2004.1088
"101",101,"AND","Andorra","TOTAL","Total Patents",1999,0
"102",102,"AND","Andorra","TOTAL","Total Patents",2000,0
"103",103,"AND","Andorra","TOTAL","Total Patents",2001,1
"104",104,"AND","Andorra","TOTAL","Total Patents",2002,2
"105",105,"AND","Andorra","TOTAL","Total Patents",2003,3
"106",106,"AND","Andorra","TOTAL","Total Patents",2004,1
"107",107,"AND","Andorra","TOTAL","Total Patents",2005,0.625
"108",108,"AND","Andorra","TOTAL","Total Patents",2006,0
"109",109,"AND","Andorra","TOTAL","Total Patents",2007,5
"110",110,"AND","Andorra","TOTAL","Total Patents",2008,3.3333
"111",111,"AND","Andorra","TOTAL","Total Patents",2009,1.5833
"112",112,"AND","Andorra","TOTAL","Total Patents",2010,4.25
"113",113,"AND","Andorra","TOTAL","Total Patents",2011,1.1667
"114",114,"AND","Andorra","TOTAL","Total Patents",2012,3.8333
"115",115,"AND","Andorra","TOTAL","Total Patents",2013,2.9167
"116",116,"AND","Andorra","TOTAL","Total Patents",2014,1.5833
"117",117,"AND","Andorra","TOTAL","Total Patents",2015,2.8333
"118",118,"AND","Andorra","TOTAL","Total Patents",2016,3.5833
"119",119,"AND","Andorra","TOTAL","Total Patents",2017,1
"120",120,"AND","Andorra","TOTAL","Total Patents",2018,1
"121",121,"ARG","Argentina","TOTAL","Total Patents",1999,1
"122",122,"ARG","Argentina","TOTAL","Total Patents",2000,15.3333
"123",123,"ARG","Argentina","TOTAL","Total Patents",2001,98.1333
"124",124,"ARG","Argentina","TOTAL","Total Patents",2002,75.4917
"125",125,"ARG","Argentina","TOTAL","Total Patents",2003,104.4266
